종목코드,종목명,시장구분,업종명,종가,대비,등락률,시가총액
"014190","원익큐브","KOSDAQ","유통","3215","-30","-0.92","113810697790"
"131390","원익피앤이","KOSDAQ","일반전기전자","30450","-550","-1.77","451235809500"
"030530","원익홀딩스","KOSDAQ","기계·장비","5000","0","0.00","386189905000"
"012620","원일특강","KOSDAQ","금속","13650","-50","-0.36","60060000000"
"382840","원준","KOSDAQ","기계·장비","114700","-1300","-1.12","575815907700"
"376980","원티드랩","KOSDAQ","소프트웨어","33950","-300","-0.88","319338317200"
"008370","원풍","KOSDAQ","화학","5410","-110","-1.99","64920000000"
"008290","원풍물산","KOSDAQ","섬유·의류","947","-12","-1.25","38536914013"
"101160","월덱스","KOSDAQ","반도체","28000","600","2.19","462307804000"
"336060","웨이버스","KOSDAQ","출판·매체복제","2020","-320","-13.68","94304104000"
"095270","웨이브일렉트로","KOSDAQ","IT부품","5670","-50","-0.87","84887021520"
"065950","웰크론","KOSDAQ","섬유·의류","4130","45","1.10","116595277260"
"076080","웰크론한텍","KOSDAQ","건설","4225","60","1.44","87950751850"
"196700","웹스","KOSDAQ","화학","4360","-115","-2.57","62627667840"
"069080","웹젠","KOSDAQ","디지털컨텐츠","22200","-450","-1.99","783901624800"
"053580","웹케시","KOSDAQ","금융","26800","-900","-3.25","369471446400"
"071460","위니아","KOSDAQ","일반전기전자","4400","10","0.23","158256098000"
"044340","위닉스","KOSDAQ","일반전기전자","17200","0","0.00","307422910000"
"330350","위더스제약","KOSDAQ","제약","10150","-100","-0.98","133906696700"
"348350","위드텍","KOSDAQ","의료·정밀기기","17250","-250","-1.43","175667100000"
"112040","위메이드","KOSDAQ","디지털컨텐츠","82100","-1400","-1.68","2756380901800"
"101730","위메이드맥스","KOSDAQ","디지털컨텐츠","17600","-300","-1.68","585997139200"
"123420","위메이드플레이","KOSDAQ","디지털컨텐츠","30350","400","1.34","348109704700"
"065370","위세아이텍","KOSDAQ","출판·매체복제","13600","50","0.37","89431886400"
"038620","위즈코프","KOSDAQ","유통","1530","-30","-1.92","101816091450"
"299900","위지윅스튜디오","KOSDAQ","오락·문화","32350","-700","-2.12","1382387349350"
"036090","위지트","KOSDAQ","기계·장비","1295","-15","-1.15","126828197440"
"136540","윈스","KOSDAQ","소프트웨어","16900","0","0.00","233417087800"
"320000","윈텍","KOSDAQ","기계·장비","2860","-5","-0.17","52907563280"
"097800","윈팩","KOSDAQ","반도체","1860","25","1.36","92380882260"
"192390","윈하이텍","KOSDAQ","금속","4130","0","0.00","44012980480"
"313760","윌링스","KOSDAQ","일반전기전자","13050","-100","-0.76","65524050000"
"900340","윙입푸드","KOSDAQ","금융","1760","405","29.89","84433233280"
"064510","유네코","KOSDAQ","기계·장비","2750","0","0.00","27821777500"
